timestamp,power in Watt
2025-05-30 06:30,24
2025-05-30 06:45,31
2025-05-30 07:00,40
2025-05-30 07:15,46
2025-05-30 07:30,53
2025-05-30 07:45,54
2025-05-30 08:00,77
2025-05-30 08:15,90
2025-05-30 08:30,121
2025-05-30 08:45,211
2025-05-30 09:00,218
2025-05-30 09:15,316
2025-05-30 09:30,397
2025-05-30 09:45,506
2025-05-30 10:00,403
2025-05-30 10:15,502
2025-05-30 10:30,776
2025-05-30 10:45,704
2025-05-30 11:00,716
2025-05-30 11:15,716
2025-05-30 11:30,716
2025-05-30 11:45,710
2025-05-30 12:00,753
2025-05-30 12:15,142
2025-05-30 12:30,103
2025-05-30 12:45,161
2025-05-30 13:00,268
2025-05-30 13:15,336
2025-05-30 13:30,305
2025-05-30 13:45,278
2025-05-30 14:00,412
2025-05-30 14:15,430
2025-05-30 14:30,183
2025-05-30 14:45,281
2025-05-30 15:00,149
2025-05-30 15:15,259
2025-05-30 15:30,43
2025-05-30 15:45,166
2025-05-30 16:00,131
2025-05-30 16:15,108
2025-05-30 16:30,103
2025-05-30 16:45,93
2025-05-30 17:00,92
2025-05-30 17:15,86
2025-05-30 17:30,80
2025-05-30 17:45,75
2025-05-30 18:00,70
2025-05-30 18:15,65
2025-05-30 18:30,60
2025-05-30 18:45,53
2025-05-30 19:00,43
2025-05-30 19:15,31
2025-05-30 19:30,20
2025-05-30 19:45,14
2025-05-30 20:00,11
2025-05-30 20:15,8
2025-05-30 20:30,4
2025-05-30 21:30,0
2025-05-30 22:30,0
2025-05-30 23:30,0
2025-05-31 00:00,0
2025-05-31 01:00,0
2025-05-31 02:00,0
2025-05-31 03:00,0
2025-05-31 04:00,0
2025-05-31 05:00,0
2025-05-31 05:15,5
2025-05-31 05:30,8
2025-05-31 05:45,11
2025-05-31 06:00,15
2025-05-31 06:15,21
2025-05-31 06:30,25
2025-05-31 06:45,138
2025-05-31 07:00,277
2025-05-31 07:15,328
2025-05-31 07:30,216
2025-05-31 07:45,141
2025-05-31 08:00,53
2025-05-31 08:15,65
2025-05-31 08:30,202
2025-05-31 08:45,291
2025-05-31 09:00,256
2025-05-31 09:15,603
2025-05-31 09:30,628
2025-05-31 09:45,643
2025-05-31 10:00,653
2025-05-31 10:15,663
2025-05-31 10:30,669
2025-05-31 10:45,672
